"","hashtags","count","frequency"
"220","mannkinahistudentkibaatna",22299,0.00165036217571972
"221","news",22081,0.00164976253463489
"222","studentslivesmatters",22018,0.00163394700102254
"223","onpoli",22010,0.00162929978261512
"224","narnc2020",21799,0.00161123559493465
"225","navmas",21737,0.00160988640249379
"226","trumpsvaccineisalie",21496,0.00159099770832168
"227","hrdpostponejeeneetna",21478,0.00159092275318608
"228","morningjoe",21226,0.00158844923371116
"229","odisha",21225,0.00158440165638857
"230","yeswecanagainna",21192,0.00157728091850623
"231","savejeeneetstudentspmsavejeeneetstudentspm",21138,0.00156903585358983
"232","blacklivesmatterna",21043,0.00156791152655578
"233","hapuscovid19",20933,0.00156363908382638
"234","hongkongna",20918,0.00155127148645178
"235","freedom",20861,0.00155119653131618
"236","studentsinscforjusticena",20696,0.00154804841562083
"237","mentalhealth",20695,0.00154767363994281
"238","naitaly",20653,0.00154714895399359
"239","biden",20648,0.00154654931290876
"240","bidenharris2020na",20641,0.00152338817600725
"241","napawankalyanbirthdaycdp",20633,0.00151064580295464
"242","uk",20324,0.00150989625159861
"243","scpostponejeeneetscpostponejeeneet",20154,0.00150232578290264
"244","education",20144,0.00148905872390081
"245","trumpfailed",20043,0.00148493619144261
"246","covid19vic",19866,0.00148373690927295
"247","postponejeeneetincovidneetjee",19811,0.00146522299077887
"248","australia",19795,0.00146394875347361
"249","fauci",19548,0.00144580961065754
"250","billgates",19531,0.00144026293062288
"251","ccpna",19289,0.00143966328953805
"252","postponeexamsorresignmodipostponeexamsorresignmodi",19215,0.00143546580194425
"253","ableg",19207,0.00142489712782414
"254","baekhyun",19151,0.00142054972995913
"255","7newsna",19010,0.00140705780555049
"256","taeyong",18952,0.00140091148443099
"257","mask",18772,0.00139768841360004
"258","studentskemannkibaatna",18690,0.00138996803463287
"259","hkprotests",18647,0.00138764442542916
"260","protestagainstexamslncovidna",18544,0.00137887467456354
"261","sidharthshukla",18513,0.00137460223183414
"262","awani745",18396,0.0013738526804781
"263","छात्रसत्याग्रहna",18339,0.00137220366749482
"264","scamdemic",18329,0.00135631317874686
"265","postponeupsccse",18307,0.00135046667816978
"266","blm",18095,0.00132475706665775
"267","southkorea",18017,0.00131703668769058
"268","democrats",17674,0.00131441325794446
"269","kagna",17571,0.00130939126385902
"270","plandemic",17536,0.00130916639845221
"271","pleasepostponejeeneetpleasepostponejeeneet",17469,0.00130384458382435
"272","trump2020kag",17466,0.00130316998760392
"273","rnc2020",17395,0.00129687375621322
"274","btsdynamitena",17386,0.0012944002367383
"275","swamyjihelpneetjeeaspirants",17302,0.00129380059565347
"276","mumbai",17269,0.00129327590970425
"277","germany",17261,0.00128900346697484
"278","covid19india",17254,0.00128473102424544
"279","studentslives",17197,0.00127738542095629
"280","naspeakupforstudentsafety",17140,0.00127303802309128
"281","cancelcompartmentexam2020na",17042,0.00127078936902317
"282","odishaneet",16984,0.00127018972793834
"283","xijinping",16954,0.00125752231002134
"284","modijihelpjeeneet",16946,0.00125714753434332
"285","jalouse2020mark",16777,0.00125504879054642
"286","maskup",16772,0.00125489888027521
"287","justin",16744,0.00125167580944426
"288","postponejeeneetincovidpostponejeeneetincovid",16742,0.00124935220024055
"289","excludeduk",16699,0.00124695363590123
"290","kai",16668,0.00124477993696873
"291","jerusalem",16636,0.00123923325693406
"292","bloodmattershyderabad",16607,0.00123571036556069
"293","resist",16533,0.00123563541042509
"294","cancelcompartmentpromoteall",16486,0.00123526063474707
"295","neetjee2020na",16485,0.00123226242932293
"296","joebiden",16480,0.0012316627882381
"297","japan",16440,0.00122761521091551
"298","saveneetjeestudentsmodiji",16432,0.0012275402557799
"299","postponeneetjeesept",16378,0.00122619106333904
"300","eu",16377,0.001225441511983
"301","webelieveinswamyji",16359,0.00122229339628765
"302","plasma",16349,0.00122206853088084
"303","postponejeeneetseptpostponejeeneetsept",16307,0.00121742131247342
"304","modigovt",16304,0.00121457301732048
"305","btsna",16242,0.00121322382487962
"306","satyagrahagainstexamincovid",16204,0.00121299895947281
"307","healthcare",16186,0.00120977588864185
"308","nocorporateimmunityna",16183,0.001204454074014
"309","jalouse2020taeyong",16140,0.00119928216965735
"310","makebillionairespayna",16069,0.00119920721452175
"311","ten",16000,0.00119733333613166
"312","antistudentnarendramodiantistudentnarendramodi",15999,0.00119635891936881
"313","defendourpostoffice",15974,0.00119568432314838
"314","zinc",15961,0.00119523459233476
"315","ripsubhasrisave30lakhripsubhasrisave30lakh",15952,0.00119515963719915
"316","vakeelsaabna",15946,0.00118946304689328
"317","tirupati",15945,0.00118653979660474
"318","covidiots",15869,0.0011814428473837
"319","america",15830,0.00117986878953602
"320","bigdata",15762,0.00117394733382334
"321","warroompandemic",15741,0.00117004966677195
"322","palestinejerusalem",15662,0.00116832569865307
"323","bbnaija",15610,0.0011648028072797
"324","justiceforstudentsstudentslives",15587,0.00116300388402522
"325","cybersecurity",15540,0.0011563328769565
"326","scamdemicna",15516,0.00115340962666796
"327","bidenharris2020",15427,0.00114936204934536
"328","ccpchina",15388,0.00114703844014165
"329","watch",15334,0.00114643879905682
"330","lucas",15303,0.00114306581795466
"331","zimbabweanlivesmatterna",15295,0.00113691949683517
"332","lockdownna",15250,0.00112882434218998
"333","onted",15168,0.00112320270701971
"334","chinahongkong",15060,0.00112252811079928
"335","ccpccp",14985,0.00112162864917204
"336","business",14976,0.00112155369403643
"337","walkaway",14964,0.00111923008483272
"338","mondaythoughts",14963,0.00111915512969712
"339","vote",14932,0.00111525746264573
"340","jalouse2020baekhyun",14931,0.00111495764210332
"341","postponejeeandneetpostponejeeandneet",14879,0.00111023546856029
"342","longhauler",14875,0.00110079112147424
"343","indiaagainstexamsincovid",14812,0.00110011652525381
"344","prabhas",14686,0.00108917307545569
"345","nationalsecuritylawna",14677,0.00108782388301482
"346","9newsna",14531,0.00108377630569223
"347","payrollsupportprogram",14513,0.00108190242730214
"348","economy",14459,0.001078904221878
"349","ghilli",14434,0.00107807971538636
"350","berlijn",14394,0.00107710529862351
